facility,id,lat,lon,year,month,cases,population,time
Changalume_Barracks_Clinic_(Muluzi),lOis6dAt7D0,-15.3896,35.21184,2025,1,4267.0,12.66209602355957,2025-01
Changata_Health_Centre,SnNGsSfYB0h,-16.23248,35.14768,2025,1,882.0,11.940177917480469,2025-01
Chankhungu_Health_Centre,cZkBc7Ri1HF,-13.76492,34.01471,2025,1,2678.0,44.525394439697266,2025-01
Chaone_Health_Centre,AalwV4ZrGDO,-15.125573,35.424026,2025,1,100.0,16.191442489624023,2025-01
Chapananga_Health_Centre,T3V75V8sfxa,-16.00551,34.48567,2025,1,634.0,24.72361946105957,2025-01
Chasolo_Dispensary,eqOmVn7lock,-13.050903,33.900006,2025,1,1122.0,6.444914817810059,2025-01
Chesamu_Health_Centre,zxDIIqsUrk8,-11.85422,34.01836,2025,1,708.0,2.1710751056671143,2025-01
Chezi_Health_Center_,salIVfMt9RA,-13.72553,34.03739,2025,1,1348.0,69.35208892822266,2025-01
Chichiri_Escom_Clinic,uMLl8OkWfHS,-15.79342,35.02444,2025,1,0.0,12.400374412536621,2025-01
Chichiri_Prison_Clinic,UkdRIbdSZw5,-15.80577,35.03242,2025,1,0.0,20.244121551513672,2025-01
Chididi_Health_Centre_(Nkhotakota),RViCF6QIybs,-13.08573,34.31474,2025,1,106.0,17.138391494750977,2025-01
Chididi_Health_Centre_(Nsanje),WG3SI4hkJFF,-16.91495,35.17333,2025,1,202.0,21.902589797973633,2025-01
Chifunga_Health_Centre,pciHYsH4glX,-15.59825,34.69892,2025,1,711.0,25.023195266723633,2025-01
Chigodi_Health_Centre,ShsLuR0OWt2,-14.49194,34.54126,2025,1,370.0,16.90082550048828,2025-01
Chikande_Health_Centre,fmvjc3pgmee,-14.77261,34.90768,2025,1,633.0,9.156451225280762,2025-01
Chikangawa_Health_Centre,eEEYKm78UBf,-11.84362,33.78759,2025,1,386.0,1.0,2025-01
Chikole_Health_Centre,KjntOeutm1x,-14.422,35.38427,2025,1,401.0,32.28145980834961,2025-01
Chikowa_Dispensary,fwew5LFgo0P,-14.959101,34.720365,2025,1,1527.0,17.115816116333008,2025-01
Chikowa_Health_Centre_(Blantyre),Keuq4t91SIs,-15.67133,34.87172,2025,1,2596.0,15.694975852966309,2025-01
Chikowa_Health_Centre_(Lilongwe),TJjz5jiFlqF,-13.72929,33.45821,2025,1,3714.0,23.036481857299805,2025-01
Chikuse_Health_Centre,Y4kaJs4jbod,-14.15069,34.31881,2025,1,588.0,34.301856994628906,2025-01
Chikwawa_District_Hospital,JQw6oDs7C6C,-16.0231,34.79346,2025,1,573.0,22.795495986938477,2025-01
Chikweo_Health_Centre,teLlh1E6CxB,-14.7655,35.66691,2025,1,1351.0,44.99542236328125,2025-01
Chikwina_Health_Centre,QlnCjd3M0E1,-11.39694,34.16973,2025,1,1262.0,10.033883094787598,2025-01
Chilambwe_Health_Centre,bNcnSc6bFll,-11.69114,34.31617,2025,1,348.0,15.23132610321045,2025-01
Chilanga_Health_Centre,Q6dBdTXnxWu,-13.1026,33.48681,2025,1,1558.0,8.581787109375,2025-01
Chilaweni_Health_Centre,WehVfN1t0Aa,-15.703095,35.044502,2025,1,480.0,13.391192436218262,2025-01
Child_Legacy_Health_Centre_(Lilongwe),cPOF4KdmFAR,-14.0685264,33.472115,2025,1,515.0,20.0511474609375,2025-01
Chileka_Health_Centre,OXaQtzbzMoy,-15.682466,34.970663,2025,1,1689.0,36.6109619140625,2025-01
Chileka_Health_Centre_(Lilongwe),iiBtWzxLMUo,-14.02102,33.38544,2025,1,4995.0,41.66316223144531,2025-01
Chileka_Sda_Health_Centre,v0GaaWRKm61,-15.660077,34.929188,2025,1,146.0,8.968215942382812,2025-01
Chilengo_Dispensary,WwPvmR6RGUw,-16.136105,35.015899,2025,1,11.0,11.845843315124512,2025-01
Chilipa_Health_Centre_(Mangochi),fwUSM7rJllv,-14.6996,34.9732,2025,1,1157.0,13.133855819702148,2025-01
Chilipa_Health_Centre_(Zomba),biJPVK5IRJn,-15.32447,35.11715,2025,1,732.0,25.019790649414062,2025-01
Chilobwe_Majiga_Health_Centre,Xx5fmiIR0fW,-13.85467,33.37439,2025,1,4405.0,31.686527252197266,2025-01
Chilomoni_Health_Centre,DAueKP2YUvT,-15.771294,34.98148,2025,1,210.0,92.29385375976562,2025-01
Chilonga_Health_Centre,Px30WvhGQQf,-14.46684,34.87097,2025,1,248.0,11.225868225097656,2025-01
Chilumba_Barracks_Health_Centre,Z6krawIPDu7,-10.39021,34.20897,2025,1,423.0,5.75182580947876,2025-01
Chilumba_Rural_Hospital,uHPXBdcz85N,-10.43199,34.25193,2025,1,1414.0,34.40768051147461,2025-01
Chima_Dispensary,zrabwOPiaCV,-12.085324,34.734633,2025,1,32.0,7.054687976837158,2025-01
Chimaliro_Health_Centre,WraUiby57xZ,-15.97706,35.18162,2025,1,273.0,27.00144386291504,2025-01
Chimatiro_Health_Centre,Qt4jxB7puZZ,-14.962681,35.023092,2025,1,659.0,13.27724838256836,2025-01
Chimbalanga_Health_Centre,JCrM0zdamqT,-13.9358,34.12567,2025,1,1927.0,22.385995864868164,2025-01
Chimembe_Health_Centre,ZaZEarjsHQX,-15.777547,34.885395,2025,1,2307.0,4.266791820526123,2025-01
Chimoto_Health_Centre,VbO2d6WVW6Q,-14.44268,34.01021,2025,1,1695.0,29.467880249023438,2025-01
Chimvu_Health_Centre,G5HX22BSHz2,-15.94198,35.12308,2025,1,84.0,16.280372619628906,2025-01
Chimwala_Dispensary,REoFvVbcLG0,-14.05121,33.79419,2025,1,144.0,38.022220611572266,2025-01
Chimwamkango_Dispensary,ZOUGIF58iaF,-13.40461,32.99357,2025,1,732.0,11.34798812866211,2025-01
Chimwawa_Health_C,IeJAi0sDcso,-15.909166,35.258729,2025,1,25.0,25.808876037597656,2025-01
Chingale_Health_Centre,o0hXXoxJnMI,-15.39694,35.1808,2025,1,2235.0,23.881534576416016,2025-01
Chingazi_Rural_Hospital,mTERmNgVCmE,-15.91842,35.20595,2025,1,61.0,24.955034255981445,2025-01
Chinguluwe_Health_Centre_(Ntchisi),Pl1TeNOgCAr,-13.26166,33.86851,2025,1,2807.0,13.62963581085205,2025-01
Chinguluwe_Health_Centre_(Salima),EiQqa3YIjqD,-13.66454,34.38503,2025,1,1180.0,9.044049263000488,2025-01
Chinkhande_Health_Centre,bRJ30NqgRUt,-13.466516,33.973818,2025,1,777.0,1.0,2025-01
Chinkhwiri_Health_Centre,RTw32nxbRoB,-13.38557,33.72106,2025,1,1543.0,21.948389053344727,2025-01
Chinthebe_Dispensary,P4Z5FpCJ4Ri,-16.00218,35.01294,2025,1,45.0,5.0628581047058105,2025-01
Chintheche_Rural_Hospital,jkmHTPe5MLQ,-11.82719,34.16836,2025,1,1521.0,29.33240509033203,2025-01
